"Protein Group","Top","Accession","-10LgP","Coverage(%)","Coverage(%) Sample 2","#Peptides","Area Sample 2","#Unique","#Spec Sample 2","PTM","Average Mass","Description"
233,true,"A0A088DB08|A0A088DB08_MESEU",188.77597,33.33,33.33,4,1.0810466E7,2,4.0,"Carbamidomethylation",6317.5283,"Potassium channel blocker pMeKTx15-1 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
327,false,"A0A1E1WVY6|A0A1E1WVY6_TITOB",101.642784,2.65,2.65,1,,1,2.0,"",38374.043,"Putative cathepsin L-like protein OS=Tityus obscurus OX=1221240 PE=3 SV=1"
296,true,"A0A5P8U2Q6|A0A5P8U2Q6_MESEU",104.670876,16.95,16.95,1,4.2267844E7,1,5.0,"Deamidation (NQ); Carbamidomethylation",6940.7246,"Toxin (Fragment) OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
7,true,"P09981|SCX9_MESEU",481.78818,98.48,98.48,50,2.81764608E9,23,220.0,"Carbamidomethylation; Deamidation (NQ); Acetylation (Protein N-term)",7343.331,"Alpha-like toxin BeM9 OS=Mesobuthus eupeus OX=34648 PE=1 SV=1"
297,true,"A0A1W7RAG2|A0A1W7RAG2_9SCOR",85.85257,2.09,2.09,2,2092392.9,2,2.0,"",69187.05,"Gamma-glutamyltranspeptidase 1 OS=Hadrurus spadix OX=141984 PE=4 SV=1"
26,true,"A0A7T9L322|A0A7T9L322_ANDCR",419.85672,45.12,45.12,30,3.72070304E8,18,86.0,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",47548.69,"Hyaluronidase OS=Androctonus crassicauda OX=122909 GN=Hyal PE=2 SV=1"
65,false,"A0A2I9LPZ6|A0A2I9LPZ6_9SCOR",222.86385,17.68,17.68,7,7030921.0,7,13.0,"Deamidation (NQ)",19336.744,"Venom neuropeptide OS=Centruroides hentzi OX=88313 PE=4 SV=1"
102,true,"C0HJQ8|KAX1G_MESEU",215.40314,41.38,41.38,8,1.45573875E9,8,31.0,"Deamidation (NQ); Oxidation (M); Carbamidomethylation",6534.949,"Potassium channel toxin alpha-KTx 1.16 OS=Mesobuthus eupeus OX=34648 PE=1 SV=1"
127,true,"Q6IZE0|Q6IZE0_MESMA",296.48853,46.97,46.97,10,123381.84,2,17.0,"Carbamidomethylation",7426.5107,"Neurotoxin Mm2 (Fragment) OS=Mesobuthus martensii OX=34649 PE=2 SV=1"
241,false,"A0A087HCZ8|A0A087HCZ8_ARAAL",53.683308,2.90,2.90,1,,1,1.0,"",23553.29,"Knottin scorpion toxin-like domain-containing protein OS=Arabis alpina OX=50452 GN=AALP_Aa3g317000 PE=3 SV=1"
204,true,"A0A0S2CX25|A0A0S2CX25_MESEU",174.77237,31.67,31.67,4,4.33510592E8,4,12.0,"Carbamidomethylation; Deamidation (NQ)",6834.223,"TXKalpha-3 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
331,true,"Q95P90|LV1B_MESMA",63.52246,9.57,9.57,1,8954438.0,1,1.0,"Carbamidomethylation",10477.144,"HMG-CoA reductase inhibitor bumarsin OS=Mesobuthus martensii OX=34649 PE=1 SV=2"
332,true,"C9X4G9|C9X4G9_TITDI",24.674427,26.67,26.67,1,224832.89,1,1.0,"",3549.9414,"Uncharacterized protein (Fragment) OS=Tityus discrepans OX=57059 PE=2 SV=1"
150,true,"A0A0K0LBU4|A0A0K0LBU4_9SCOR",234.07788,44.05,44.05,8,4750419.0,1,32.0,"Carbamidomethylation; Deamidation (NQ)",9485.939,"Sodium channel blocker AbNaTx18 OS=Androctonus bicolor OX=748906 PE=2 SV=1"
333,true,"F8THK0|F8THK0_HOTJU",96.254745,2.63,2.63,1,,1,1.0,"",54277.56,"Putative RNA-binding protein (Fragment) OS=Hottentotta judaicus OX=6863 PE=2 SV=1"
177,false,"P85529|KAX2D_CENSU",30.196234,15.79,15.79,1,451139.78,1,2.0,"Carbamidomethylation",4006.8445,"Potassium channel toxin alpha-KTx 2.13 OS=Centruroides suffusus OX=6880 PE=1 SV=1"
334,true,"B8XH54|B8XH54_BUTOS",35.24445,8.33,8.33,1,489294.78,1,1.0,"",8402.055,"Putative toxin Tx297 OS=Buthus occitanus israelis OX=539894 PE=2 SV=1"
134,true,"A0A088DAY7|A0A088DAY7_MESEU",250.72404,59.32,59.32,9,3727181.5,1,32.0,"Carbamidomethylation",6463.7607,"Potassium channel blocker pMeKTx10-2b OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
160,false,"Q6JQN2|NDB44_MESMA",213.58084,35.71,35.71,5,3613216.5,5,6.0,"",7984.52,"Peptide BmKn2 OS=Mesobuthus martensii OX=34649 PE=1 SV=1"
189,false,"Q8I0L5|KA152_MESMA",209.40698,32.20,32.20,4,351546.44,1,10.0,"Carbamidomethylation; Deamidation (NQ)",6206.4893,"Potassium channel toxin alpha-KTx 15.2 OS=Mesobuthus martensii OX=34649 PE=1 SV=1"
99,false,"A0A2I9LPF6|A0A2I9LPF6_9SCOR",254.3995,14.29,14.29,7,674319.56,3,9.0,"Carbamidomethylation",56813.656,"Protein disulfide-isomerase OS=Centruroides hentzi OX=88313 PE=3 SV=1"
248,false,"Q686R4|Q686R4_MESGB",195.35854,24.37,24.37,3,1000327.2,3,5.0,"Carbamidomethylation",12890.899,"CG10527-like methyltransferase (Fragment) OS=Mesobuthus gibbosus OX=123226 GN=mt PE=4 SV=1"
335,true,"A0A1E1WWH5|A0A1E1WWH5_TITOB",25.283985,5.41,5.41,1,,1,1.0,"",36894.61,"Putative cathepsin B-like protein OS=Tityus obscurus OX=1221240 PE=3 SV=1"
129,false,"F5CJW0|F5CJW0_MESEU",256.09534,46.51,46.51,8,8.2591501E8,3,31.0,"Carbamidomethylation",4814.5376,"Tx3B-m (Fragment) OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
177,false,"P24662|KAX31_ANDMA",30.196234,15.79,15.79,1,451139.78,1,2.0,"Carbamidomethylation",4155.99,"Potassium channel toxin alpha-KTx 3.1 OS=Androctonus mauritanicus mauritanicus OX=6860 PE=1 SV=2"
49,true,"A0A0K0LBX2|A0A0K0LBX2_9SCOR",334.25644,48.84,48.84,19,3910892.2,4,48.0,"Carbamidomethylation; Deamidation (NQ)",9658.083,"Sodium channel blocker AbNaTx2 OS=Androctonus bicolor OX=748906 PE=2 SV=1"
103,true,"C6H0Z9|C6H0Z9_PANIM",298.6902,14.88,14.88,12,338278.4,2,19.0,"Deamidation (NQ); Oxidation (M); Carbamidomethylation",71717.984,"Hemocyanin subunit 6 OS=Pandinus imperator OX=55084 GN=hc6 PE=2 SV=1"
151,true,"P60233|KA151_ANDAU",261.74072,54.05,54.05,7,2.5406656E7,3,17.0,"Carbamidomethylation; Deamidation (NQ)",3874.5159,"Potassium channel toxin alpha-KTx 15.1 OS=Androctonus australis OX=6858 PE=1 SV=1"
336,true,"P01480|SCX3_ANDAU",91.087135,11.90,11.90,1,354314.8,1,3.0,"",9067.711,"Alpha-mammal toxin Aah3 OS=Androctonus australis OX=6858 PE=1 SV=3"
8,false,"A0A1E1WWG5|A0A1E1WWG5_TITOB",226.2032,6.72,6.72,5,1.13245696E8,3,11.0,"",46677.9,"Hyaluronidase OS=Tityus obscurus OX=1221240 PE=3 SV=1"
205,false,"P0C5J6|SCXMT_PARLS",79.06673,41.18,41.18,1,6039844.0,1,3.0,"Deamidation (NQ)",1956.0968,"Mammal toxin PlMT (Fragment) OS=Parabuthus liosoma OX=470425 PE=1 SV=1"
177,false,"P0C8R1|KAX3C_ANDAM",30.196234,15.79,15.79,1,451139.78,1,2.0,"Carbamidomethylation",4192.0083,"Potassium channel toxin alpha-KTx 3.12 OS=Androctonus amoreuxi OX=112024 PE=1 SV=1"
52,false,"E7CZZ0|SCXNB_MESEU",341.61243,67.57,67.57,16,4328476.0,4,36.0,"Deamidation (NQ); Carbamidomethylation",8038.2646,"Sodium channel neurotoxin MeuNaTxalpha-11 (Fragment) OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
337,true,"A0A146CIX6|A0A146CIX6_MESEU",29.283028,7.69,7.69,1,,1,1.0,"Carbamidomethylation",10229.953,"Sodium channel toxin meuNa13 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
298,true,"A0A1S5QN46|A0A1S5QN46_TITSE",120.100006,3.39,3.39,2,2000113.8,2,2.0,"",53838.25,"Carboxypeptidase E OS=Tityus serrulatus OX=6887 PE=2 SV=1"
234,true,"A0A1W7RAH3|A0A1W7RAH3_9SCOR",206.03265,14.20,14.20,4,541714.7,4,4.0,"Carbamidomethylation",36154.277,"Glyceraldehyde-3-phosphate dehydrogenase OS=Hadrurus spadix OX=141984 PE=3 SV=1"
235,true,"A0A1E1WW02|A0A1E1WW02_TITOB",183.55847,3.44,3.44,3,2.5972942E7,1,6.0,"Deamidation (NQ); Carbamidomethylation; Oxidation (M)",41036.703,"Putative metalloproteinase (Fragment) OS=Tityus obscurus OX=1221240 PE=3 SV=1"
111,false,"Q5F1N4|KS4_MESMA",249.1688,39.74,39.74,6,2.572316E8,6,23.0,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)",8855.511,"Toxin BmTxKS4 OS=Mesobuthus martensii OX=34649 PE=3 SV=1"
152,true,"A0A0U3YCU6|A0A0U3YCU6_ODODO",225.24835,32.20,32.20,5,,2,30.0,"Carbamidomethylation; Deamidation (NQ)",6388.593,"Chloride channel toxin ClTx1 OS=Odontobuthus doriae OX=342590 GN=ClTx1 PE=2 SV=1"
282,false,"B8XGZ5|B8XGZ5_BUTOS",139.16418,10.47,10.47,2,108662.72,2,2.0,"Carbamidomethylation",9458.993,"Putative alpha toxin Tx763 OS=Buthus occitanus israelis OX=539894 PE=2 SV=1"
91,true,"A0A059UI24|A0A059UI24_MESGB",331.01773,62.14,62.14,13,2.20523488E8,13,39.0,"Carbamidomethylation; Deamidation (NQ)",12049.083,"Putative venom peptide OS=Mesobuthus gibbosus OX=123226 PE=2 SV=1"
338,true,"A0A224XGF6|A0A224XGF6_9SCOR",47.310947,1.60,1.60,1,,1,1.0,"Carbamidomethylation",49660.2,"Putative CAP peptide OS=Megacormus gertschi OX=1843536 PE=4 SV=1"
113,true,"F1CIV8|F1CIV8_HOTJU",307.9661,33.72,33.72,10,,1,32.0,"Carbamidomethylation; Deamidation (NQ)",9570.277,"Beta-buthitoxin-Hj2a OS=Hottentotta judaicus OX=6863 PE=2 SV=1"
69,true,"A0A1E1WVL6|A0A1E1WVL6_TITOB",328.70508,21.82,21.82,16,7654440.0,11,26.0,"Deamidation (NQ); Carbamidomethylation",73246.2,"Putative hemocyanin subunit OS=Tityus obscurus OX=1221240 PE=3 SV=1"
246,false,"P0DMR9|KA17G_MESMA",70.050835,22.58,22.58,1,,1,1.0,"Carbamidomethylation",3769.3472,"Toxin BmKK16 OS=Mesobuthus martensii OX=34649 PE=1 SV=1"
83,true,"E4VP38|E4VP38_MESEU",331.47733,52.38,52.38,14,3.1820988E7,11,21.0,"Carbamidomethylation; Oxidation (M)",9584.185,"Venom protein-8 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
260,true,"Q9N682|SCXB_MESMA",138.50914,28.57,28.57,3,,1,4.0,"Carbamidomethylation",9307.761,"Neurotoxin BmK-M11 OS=Mesobuthus martensii OX=34649 PE=3 SV=1"
177,false,"C0HJW1|KAX2F_CENTE",30.196234,15.79,15.79,1,451139.78,1,2.0,"Carbamidomethylation",4128.974,"Potassium channel toxin alpha-KTx 2.15 OS=Centruroides tecomanus OX=1028682 PE=1 SV=1"
57,true,"A0A088D9U7|A0A088D9U7_MESEU",319.1318,48.44,48.44,12,4.28633664E8,12,42.0,"Carbamidomethylation; Deamidation (NQ); Oxidation (M)",7255.551,"Potassium channel blocker pMeKTx3-1 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
114,true,"E7CZY8|SCXN3_MESEU",286.67108,78.05,78.05,8,4.3331604E7,8,19.0,"Carbamidomethylation; Deamidation (NQ)",9093.247,"Sodium channel neurotoxin MeuNaTxalpha-3 (Fragment) OS=Mesobuthus eupeus OX=34648 PE=1 SV=1"
140,false,"Q56TT9|SCIT_HOTJU",228.66614,24.71,24.71,6,383877.22,1,60.0,"Deamidation (NQ); Carbamidomethylation",9269.712,"Alpha-insect toxin BjaIT OS=Hottentotta judaicus OX=6863 PE=1 SV=1"
74,true,"P55902|SIX1_BUTOC",259.1769,90.77,90.77,9,1.14599664E8,3,25.0,"Acetylation (Protein N-term); Deamidation (NQ); Carbamidomethylation; Oxidation (M)",7343.305,"Alpha-insect toxin BotIT1 OS=Buthus occitanus tunetanus OX=6871 PE=1 SV=1"
153,true,"Q9NJC5|SC10_MESMA",265.38626,20.00,20.00,8,4.1000768E7,1,14.0,"Carbamidomethylation",9373.95,"Toxin BmKaTx10 OS=Mesobuthus martensii OX=34649 PE=2 SV=1"
334,true,"A0A0K0LBQ2|A0A0K0LBQ2_9SCOR",35.24445,8.22,8.22,1,489294.78,1,1.0,"",8457.097,"Pradykinin-potentiating peptide-like peptide Bpp-1 OS=Androctonus bicolor OX=748906 PE=2 SV=1"
190,false,"E4VP62|E4VP62_MESEU",135.1401,17.65,17.65,2,9380039.0,2,2.0,"Carbamidomethylation",6099.1987,"Venom peptide-5 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
261,true,"T1E6Y3|T1E6Y3_9SCOR",108.7281,8.27,8.27,3,1869212.5,3,3.0,"Carbamidomethylation; Deamidation (NQ)",44650.23,"CAP-Iso-2 (Fragment) OS=Isometroides vescus OX=1330405 PE=2 SV=1"
95,false,"T1DEK7|T1DEK7_9SCOR",146.37924,4.50,4.50,2,8.5338624E7,1,10.0,"Oxidation (M)",47080.426,"CAP-Iso-1 OS=Isometroides vescus OX=1330405 PE=2 SV=1"
299,true,"A0A143MGX8|A0A143MGX8_MESEU",78.35005,23.64,23.64,2,1.2903473E7,2,4.0,"Carbamidomethylation",6332.5703,"Potassium channel toxin meuK7-3 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
27,true,"Q9UAC9|SCAS_MESMA",420.89154,76.47,76.47,31,74849.37,1,130.0,"Carbamidomethylation; Deamidation (NQ)",9759.421,"Beta-toxin BmKAS OS=Mesobuthus martensii OX=34649 PE=1 SV=1"
213,false,"A0A0U1TZH3|A0A0U1TZH3_LYCMC",190.41032,14.12,14.12,4,,1,7.0,"Carbamidomethylation",9743.388,"Neurotoxin LmNaTx26 (Fragment) OS=Lychas mucronatus OX=172552 PE=2 SV=1"
236,true,"A0A088D9Q6|A0A088D9Q6_MESEU",170.98572,46.43,46.43,3,6.656178E7,3,5.0,"Carbamidomethylation; Deamidation (NQ)",5922.1655,"Potassium channel blocker pMeKTx2-3 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
73,false,"Q9U8D2|KAX82_MESMA",194.66235,22.81,22.81,4,5.1591488E7,3,11.0,"Carbamidomethylation; Deamidation (NQ)",6318.424,"Potassium channel toxin alpha-KTx 8.2 OS=Mesobuthus martensii OX=34649 PE=1 SV=1"
339,true,"A0A1W7R9B8|A0A1W7R9B8_9SCOR",56.152378,5.35,5.35,1,,1,1.0,"Carbamidomethylation",49805.31,"Tubulin alpha chain OS=Hadrurus spadix OX=141984 PE=3 SV=1"
300,true,"A0A1W7RAZ7|A0A1W7RAZ7_9SCOR",145.54935,2.37,2.37,2,383416.3,2,2.0,"",77411.5,"Arachidonate 15-lipoxygenase B OS=Hadrurus spadix OX=141984 PE=4 SV=1"
205,true,"P0C1B7|DORT_PARTR",206.0381,29.31,29.31,4,6039844.0,1,9.0,"Deamidation (NQ); Carbamidomethylation",6648.4546,"Dortoxin OS=Parabuthus transvaalicus OX=170972 PE=1 SV=1"
340,true,"A0A1W7RA68|A0A1W7RA68_9SCOR",57.008915,1.57,1.57,1,,1,1.0,"",68000.49,"Moesin/ezrin/radixin homolog 1 OS=Hadrurus spadix OX=141984 PE=4 SV=1"
262,true,"A0A2I9LP74|A0A2I9LP74_9SCOR",177.77187,6.92,6.92,3,8438271.0,3,4.0,"",39029.934,"Peptidylglycine alpha-amidating monooxygenase OS=Centruroides hentzi OX=88313 PE=4 SV=1"
122,false,"F1CIV5|F1CIV5_HOTJU",178.67957,22.03,22.03,3,429654.22,2,7.0,"Carbamidomethylation; Deamidation (NQ)",6630.9126,"Gamma-buthitoxin-Hj1a OS=Hottentotta judaicus OX=6863 PE=2 SV=1"
301,true,"A0A1W7R9T5|A0A1W7R9T5_9SCOR",136.52394,11.46,11.46,2,,2,2.0,"Carbamidomethylation",21714.16,"Ras-like GTP-binding protein Rho1 OS=Hadrurus spadix OX=141984 PE=4 SV=1"
38,true,"A0A143MI92|A0A143MI92_MESEU",395.98343,65.93,65.93,25,2.5030761E9,2,68.0,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)",10177.084,"Potassium channel toxin meuK4 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
115,true,"A0A088D9S3|A0A088D9S3_MESEU",249.98875,62.30,62.30,10,1.19140096E9,10,24.0,"Carbamidomethylation; Deamidation (NQ)",6866.288,"Potassium channel blocker pMeKTx8-1 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
263,true,"A0A0U1S633|A0A0U1S633_ISOMC",168.11983,6.75,6.75,3,832991.25,2,3.0,"",28004.898,"Peptidase S1 domain-containing protein (Fragment) OS=Isometrus maculatus OX=497827 PE=2 SV=1"
260,true,"P58328|SCX4_MESMA",138.50914,37.50,37.50,3,,1,4.0,"Carbamidomethylation",7020.9297,"Alpha-like toxin BmK-M4 OS=Mesobuthus martensii OX=34649 PE=1 SV=1"
116,true,"P01487|SCX3_LEIQU",275.42538,90.62,90.62,10,758758.94,2,17.0,"Carbamidomethylation; Acetylation (Protein N-term); Deamidation (NQ)",7240.1694,"Alpha-insect toxin Lqq3 OS=Leiurus quinquestriatus quinquestriatus OX=6885 PE=1 SV=2"
302,true,"C5J8B1|C5J8B1_OPICY",128.62112,24.53,24.53,2,1070203.5,2,2.0,"",12435.01,"Putative Ca2+-dependent activator protein (Fragment) OS=Opisthacanthus cayaporum OX=573324 GN=CADPS PE=2 SV=1"
34,false,"A0A088DB26|A0A088DB26_MESEU",363.10678,56.67,56.67,22,1.12035696E8,6,70.0,"Carbamidomethylation; Oxidation (M)",10250.18,"Potassium channel blocker pMeKTx28-3 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
248,false,"A0A1W7RA66|A0A1W7RA66_9SCOR",104.95598,6.92,6.92,1,207751.77,1,2.0,"",17236.066,"Methyltransferase-like protein OS=Hadrurus spadix OX=141984 PE=4 SV=1"
341,true,"A0A2I9LNT5|A0A2I9LNT5_9SCOR",50.310444,1.14,1.14,1,,1,1.0,"Carbamidomethylation",81790.5,"Beta-amyloid-like protein OS=Centruroides hentzi OX=88313 PE=3 SV=1"
196,false,"A0A1W7R9U8|A0A1W7R9U8_9SCOR",168.85019,17.73,17.73,3,622261.75,3,3.0,"Carbamidomethylation",22597.664,"Ras-related protein Rab-1A OS=Hadrurus spadix OX=141984 PE=3 SV=1"
23,true,"E4VP15|E4VP15_MESEU",418.6401,67.44,67.44,30,9.4756851E8,16,88.0,"Carbamidomethylation; Deamidation (NQ)",9979.639,"Venom sodium channel toxin-1 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
342,true,"A0AA49K9N2|A0AA49K9N2_9SCOR",34.118484,8.24,8.24,1,2.9237126E7,1,2.0,"",9347.928,"NaTx OS=Tityus melici OX=3026321 PE=2 SV=1"
303,true,"A0A088DAZ8|A0A088DAZ8_MESEU",94.5279,19.64,19.64,1,6.895636E7,1,3.0,"Carbamidomethylation; Oxidation (M)",5926.1284,"Potassium channel blocker pMeKTx2-1 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
343,true,"A0A1W7R9F6|A0A1W7R9F6_9SCOR",96.5116,7.74,7.74,1,,1,2.0,"",17150.312,"Eukaryotic translation initiation factor 5A OS=Hadrurus spadix OX=141984 PE=3 SV=1"
73,false,"A0A0K0LBY7|A0A0K0LBY7_9SCOR",94.17779,12.28,12.28,1,20212.47,1,1.0,"Carbamidomethylation",6255.344,"Potassium channel blocker AbTx21 OS=Androctonus bicolor OX=748906 PE=2 SV=1"
106,false,"A0A059UD51|A0A059UD51_MESGB",187.8335,20.31,20.31,3,7.2847674E8,3,44.0,"Carbamidomethylation; Deamidation (NQ)",7263.42,"Potassium channel toxin-like alpha-KTx 10.3 OS=Mesobuthus gibbosus OX=123226 PE=2 SV=1"
344,true,"P15228|AEP1_MESMA",90.096794,10.59,10.59,1,2064872.2,1,1.0,"Carbamidomethylation",9295.772,"Toxin BmKAEP OS=Mesobuthus martensii OX=34649 PE=1 SV=2"
304,true,"A0A398AM53|A0A398AM53_BRACM",63.130844,10.26,10.26,1,1.19116576E8,1,7.0,"Carbamidomethylation; Deamidation (NQ)",8475.72,"Knottin scorpion toxin-like domain-containing protein OS=Brassica campestris OX=3711 GN=BRARA_A00932 PE=4 SV=1"
154,true,"A0A0D4CYV3|A0A0D4CYV3_MESEU",229.7767,33.33,33.33,5,435155.0,1,24.0,"Carbamidomethylation; Deamidation (NQ)",7111.536,"I6 toxin (Fragment) OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
228,false,"B8XH04|B8XH04_BUTOS",111.49829,9.09,9.09,2,4.5211948E7,2,2.0,"",10239.037,"Putative excitatory toxin Tx402 OS=Buthus occitanus israelis OX=539894 PE=2 SV=1"
237,true,"A0A146CIT2|A0A146CIT2_MESEU",197.52054,20.45,20.45,4,1.1186368E7,2,8.0,"Carbamidomethylation",9951.804,"Sodium channel toxin meuNa9 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
165,false,"A0A088DAE4|A0A088DAE4_MESEU",226.36722,42.11,42.11,5,3.83146176E8,5,19.0,"Carbamidomethylation; Deamidation (NQ)",6465.677,"Potassium channel blocker pMeKTx12-1 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
34,false,"A0A143MGJ8|A0A143MGJ8_MESEU",363.75565,32.22,32.22,20,,1,65.0,"Carbamidomethylation; Oxidation (M)",10408.3955,"Potassium channel toxin meuK28-2 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
204,true,"E4VP04|KAXU3_MESEU",174.77237,31.67,31.67,4,4.33510592E8,4,12.0,"Carbamidomethylation; Deamidation (NQ)",6822.169,"Potassium channel toxin MeuTXKalpha3 OS=Mesobuthus eupeus OX=34648 PE=1 SV=1"
345,true,"A0A1E1WVR3|A0A1E1WVR3_TITOB",23.03724,5.45,5.45,1,725731.2,1,1.0,"",12355.317,"Putative secreted protein (Fragment) OS=Tityus obscurus OX=1221240 PE=4 SV=1"
170,true,"A0A2I9LPM5|A0A2I9LPM5_9SCOR",225.98438,42.97,42.97,7,6908630.0,7,11.0,"Acetylation (Protein N-term)",14701.284,"Ubiquitin-ribosomal protein eL40 fusion protein OS=Centruroides hentzi OX=88313 PE=3 SV=1"
73,false,"A0A1L2FZD4|KAX88_ORTSC",94.17779,12.28,12.28,1,20212.47,1,1.0,"Carbamidomethylation",6385.6567,"Potassium channel toxin alpha-KTx 8.8 OS=Orthochirus scrobiculosus OX=6892 PE=1 SV=1"
28,true,"P01490|SCXA_MESEU",420.30804,75.38,75.38,29,7.9543238E8,13,114.0,"Carbamidomethylation; Deamidation (NQ); Acetylation (Protein N-term)",7373.314,"Alpha-toxin BeM10 OS=Mesobuthus eupeus OX=34648 PE=1 SV=1"
104,true,"P0DQN9|DEL2A_HOTJU",274.84442,65.62,65.62,11,7527110.0,1,70.0,"Deamidation (NQ); Carbamidomethylation",7127.0513,"Delta-buthitoxin-Hj2a OS=Hottentotta judaicus OX=6863 PE=1 SV=1"
194,false,"A0A1U8EZX8|A0A1U8EZX8_CAPAN",60.56386,5.83,5.83,1,294708.75,1,1.0,"",11770.762,"Knottin scorpion toxin-like domain-containing protein OS=Capsicum annuum OX=4072 GN=T459_18604 PE=4 SV=1"
260,true,"Q9NJC8|SC13_MESMA",138.50914,28.57,28.57,3,,1,4.0,"Carbamidomethylation",9318.79,"Toxin BmKaTx13 OS=Mesobuthus martensii OX=34649 PE=2 SV=1"
177,false,"P0C162|KAX29_CENEL",30.196234,15.38,15.38,1,451139.78,1,2.0,"Carbamidomethylation",4274.1045,"Potassium channel toxin alpha-KTx 2.9 OS=Centruroides elegans OX=217897 PE=1 SV=1"
264,true,"A0A8K1NCY9|A0A8K1NCY9_ANDCR",190.22539,20.42,20.42,3,208316.02,3,3.0,"Carbamidomethylation",20945.21,"Triosephosphate isomerase OS=Androctonus crassicauda OX=122909 PE=2 SV=1"
136,true,"A0A146CIZ3|A0A146CIZ3_MESEU",267.3096,29.31,29.31,7,1.5059695E7,7,19.0,"Carbamidomethylation; Deamidation (NQ)",13464.265,"Venom toxin meuEnz24 OS=Mesobuthus eupeus OX=34648 PE=2 SV=1"
346,true,"F1LMY4|RYR1_RAT",31.038675,0.36,0.36,1,,1,1.0,"",565482.6,"Ryanodine receptor 1 OS=Rattus norvegicus OX=10116 GN=Ryr1 PE=1 SV=1"
